name,iata,municipality,country
Goma International Airport,GOM,Goma,Democratic Republic of the Congo
N'djili Airport,FIH,Kinshasa,Democratic Republic of the Congo
Bangoka International Airport,FKI,Kisangani,Democratic Republic of the Congo
Lubumbashi International Airport,FBM,Lubumbashi,Democratic Republic of the Congo
Maya-Maya Airport,BZV,Brazzaville,Congo
Pointe Noire Airport,PNR,Pointe-Noire,Congo
Malabo International Airport,SSG,Malabo,Equatorial Guinea
M'Vengue El Hadj Omar Bongo Ondimba International Airport,MVB,Franceville,Gabon
Leon M'ba International Airport,LBV,Libreville,Gabon
Port-Gentil International Airport,POG,Port-Gentil,Gabon
Sao Tome International Airport,TMS,Sao Tome,Sao Tome and Principe
Bujumbura International Airport,BJM,Bujumbura,Burundi
Prince Said Ibrahim International Airport,HAH,"Moroni, Comoros",Comoros
Eldoret International Airport,EDL,Eldoret,Kenya
Moi International Airport,MBA,Mombasa,Kenya
Kisumu International Airport,KIS,Kisumu,Kenya
Jomo Kenyatta International Airport,NBO,Nairobi,Kenya
Sir Seewoosagur Ramgoolam International Airport,MRU,Plaine Magnien,Mauritius
Roland Garros Airport,RUN,Saint-Denis,Reunion
Kigali International Airport,KGL,Kigali,Rwanda
Seychelles International Airport,SEZ,Victoria,Seychelles
Juba International Airport,JUB,Juba,South Sudan
Julius Nyerere International Airport,DAR,Dar es Salaam,Tanzania
Kilimanjaro International Airport,JRO,Hai District,Tanzania
Abeid Amani Karume International Airport,ZNZ,"Unguja, Zanzibar",Tanzania
Entebbe International Airport,EBB,Entebbe,Uganda
Djibouti-Ambouli International Airport,JIB,Djibouti City,Djibouti
Asmara International Airport,ASM,Asmara,Eritrea
Addis Ababa Bole International Airport,ADD,Addis Ababa,Ethiopia
Aba Tenna Dejazmach Yilma International Airport,DIR,Dire Dawa,Ethiopia
Bender Qassim International Airport,BSA,Bosaso,Somalia
Abdullahi Yusuf International Airport,GBY,Galkayo,Somalia
Garowe International Airport,GGR,Garowe,Somalia
Hargeisa International Airport,HGA,Hargeisa,Somalia
Kismayo Airport,KMU,Kismayo,Somalia
Aden Adde International Airport,MGQ,Mogadishu,Somalia
Touat-Cheikh Sidi Mohamed Belkebir Airport,AZR,Adrar,Algeria
Houari Boumedienne Airport,ALG,Algiers,Algeria
Rabah Bitat Airport,AAE,Annaba,Algeria
Batna Airport,BLJ,Batna,Algeria
Soummam Airport,BJA,Bejaia,Algeria
Biskra Airport,BSK,Oumache,Algeria
Chlef International Airport,CFK,Chlef,Algeria
Mohamed Boudiaf Airport,CZL,Constantine,Algeria
Oued Irara Airport,HME,Hassi Messaoud,Algeria
Jijel Ferhat Abbas Airport,GJL,Jijel,Algeria
Oran Es Senia Airport,ORN,Oran,Algeria
Ain Arnat Airport,QSF,Setif,Algeria
Tamanrasset Airport,TMR,Tamanrasset,Algeria
Zenata Airport,TLM,Tlemcen,Algeria
N'Djamena International Airport,NDJ,N'Djamena,Chad
Borg El Arab Airport,HBE,Alexandria,Egypt
Alexandria International Airport,ALY,Alexandria,Egypt
Assiut Airport,ATZ,Asyut,Egypt
Aswan International Airport,ASW,Aswan,Egypt
Cairo International Airport,CAI,Cairo,Egypt
El Arish International Airport,AAC,El Arish,Egypt
Al Alamain International Airport,DBB,El Dabaa,Egypt
Hurghada International Airport,HRG,Hurghada,Egypt
Luxor International Airport,LXR,Luxor,Egypt
Marsa Alam International Airport,RMF,Marsa Alam,Egypt
Mersa Matruh Airport,MUH,Mersa Matruh,Egypt
St. Catherine International Airport,SKV,Saint Catherine,Egypt
Sharm el-Sheikh International Airport,SSH,Sharm el-Sheikh,Egypt
Sohag International Airport,HMB,Sohag,Egypt
Taba International Airport,TCP,Taba,Egypt
Benina International Airport,BEN,Benghazi,Libya
Sebha Airport,SEB,Sabha,Libya
Tripoli International Airport,TIP,Tripoli,Libya
Mitiga International Airport,MJI,Tajoura,Libya
Al Massira Airport,AGA,Agadir,Morocco
Mohammed V International Airport,CMN,Casablanca,Morocco
Fes-Saiss Airport,FEZ,Fes,Morocco
Marrakech-Menara Airport,RAK,Marrakech,Morocco
Nador International Airport,NDR,Nador,Morocco
Angads Airport,OUD,Oujda,Morocco
Rabat-Sale Airport,RBA,Rabat,Morocco
Tangier-Boukhalef Airport,TNG,Tangier,Morocco
Sania Ramel Airport,TTU,Tetouan,Morocco
Dakhla Airport,VIL,Dakhla,Morocco
Hassan I Airport,EUN,Laayoune,Morocco
Khartoum International Airport,KRT,Khartoum,Sudan
Port Sudan New International Airport,PZU,Port Sudan,Sudan
Zarzis Airport,DJE,Djerba,Tunisia
Enfidha-Hammamet International Airport,NBE,Enfidha,Tunisia
Habib Bourguiba International Airport,MIR,Monastir,Tunisia
Thyna International Airport,SFA,Sfax,Tunisia
7 Novembre International Airport,TBJ,Tabarka,Tunisia
